QUESTIONID,FORMAT,DIFFICULTY,TOPIC,QUESTION,CHOICES,ANSWER,TOTALSCORE
Q049,FillinTheBlank,EASY,Pointers,A ______  is a variable that stores the memory address of another variable.,,pointer,5
Q050,FillinTheBlank,HARD,Pointers,In C++ to deallocate memory assigned to a pointer named 'ptr' we use the syntax ______ ptr;,,delete,15
Q051,MCQ,EASY,Linked Lists,Which statement is true about linked lists?,A. Linked lists have a fixed size;B. Elements in a linked list are stored contiguously in memory;C. Linked lists support constant-time access to elements;D. Linked lists can easily insert or delete elements in the middle,A,5
Q052,FillinTheBlank,INTERMEDIATE,Linked Lists,In C++ to define a node structure for a singly linked list with an integer data field named 'data' and a pointer to the next node named 'next' we use the syntax struct Node { int data; ______* next; };,,Node,10
Q053,TrueFalse,INTERMEDIATE,Linked Lists,In C++ a circular linked list contains a cycle in its structure.,,TRUE,10
Q054,MCQ,EASY,Linked Lists,Which operations can be performed efficiently on a singly linked list?,A. Random access of elements;B. Insertion at the beginning;C. Deletion from the middle;D. Traversal from end to beginning,B,5
Q055,FillinTheBlank,HARD,Linked Lists,In C++ to insert a new node with data value 10 after a node named 'currentNode' in a singly linked list we use the syntax newNode->data = 10; newNode->next = ______; currentNode->next = newNode;,,currentNode->next,15
Q056,MultipleCorrect,INTERMEDIATE,Linked Lists,Which types of linked lists exist?,A. Singly linked list;B. Doubly linked list;C. Circular linked list;D. Linear linked list,A;B;C,10
Q057,MCQ,EASY,Linked Lists,Which statement is true about the tail of a singly linked list?,A. The tail points to the first node;B. The tail contains the data of the last node;C. The tail points to NULL;D. The tail points to a dummy node,C,5
Q058,TrueFalse,INTERMEDIATE,Linked Lists,In C++ a doubly linked list allows traversal in both directions forward and backward.,,TRUE,10
Q059,MCQ,EASY,Linked Lists,Which operations are typically slower in a linked list compared to an array?,A. Insertion at the beginning;B. Deletion from the middle;C. Random access of elements;D. Traversal from beginning to end,C,5
Q060,FillinTheBlank,HARD,Linked Lists,In C++ to delete the first node from a singly linked list we use the syntax ______ = head->next; delete head; head = temp;,,temp,15
Q061,MultipleCorrect,INTERMEDIATE,Linked Lists,Which are disadvantages of using linked lists in C++?,A. Linked lists require more memory compared to arrays;B. Linked lists do not support random access of elements;C. Linked lists are difficult to implement;D. Linked lists have a fixed size,A;B,10
Q062,MCQ,EASY,Linked Lists,Which statement is true about the head of a singly linked list?,A. The head points to the last node;B. The head contains the data of the first node;C. The head points to NULL;D. The head contains the data of the last node,B,5
Q063,TrueFalse,INTERMEDIATE,Linked Lists,In C++ a circular linked list always contains a cycle in its structure.,,TRUE,10
Q064,MCQ,EASY,Linked Lists,Which operations can be performed efficiently on a doubly linked list?,A. Traversal from beginning to end;B. Random access of elements;C. Insertion at the beginning;D. Deletion from the middle,D,5
Q065,FillinTheBlank,HARD,Linked Lists,In C++ to insert a new node with data value 20 before a node named 'currentNode' in a doubly linked list we use the syntax newNode->data = 20; newNode->next = ______; newNode->prev = ______; currentNode->prev->next = newNode;,,currentNode,15
Q066,MultipleCorrect,INTERMEDIATE,Linked Lists,Which are advantages of using doubly linked lists over singly linked lists in C++?,A. Doubly linked lists support traversal in both directions;B. Doubly linked lists allow constant-time access to the last node;C. Doubly linked lists have a smaller memory footprint;D. Doubly linked lists can be traversed only in one direction,A;B,10
Q067,MCQ,EASY,Stacks,Which statement is true about stacks?,A. Stacks follow the FIFO (First In First Out) principle;B. Stacks support random access of elements;C. Stacks allow insertion and deletion from both ends;D. Stacks follow the LIFO (Last In First Out) principle,D,5
Q068,FillinTheBlank,INTERMEDIATE,Stacks,In C++ to declare a stack of integers named 's' we use the syntax stack<int> ______;,,s,10
Q069,TrueFalse,INTERMEDIATE,Stacks,In C++ a stack can be implemented using arrays or linked lists.,,TRUE,10
Q070,MCQ,EASY,Stacks,Which operations can be performed efficiently on a stack?,A. Insertion at the middle;B. Deletion from the middle;C. Insertion at the top;D. Deletion from the bottom,C,5
Q071,FillinTheBlank,HARD,Stacks,In C++ to push an element with value 15 onto a stack named 's' we use the syntax s.______(15);,,push,15
Q072,MultipleCorrect,INTERMEDIATE,Stacks,Which are common applications of stacks?,A. Expression evaluation;B. Undo operations in text editors;C. Backtracking in algorithms;D. Sorting elements,A;B;C,10
Q073,MCQ,EASY,Stacks,Which statement is true about the top of a stack?,A. The top points to the last element of the stack;B. The top contains the data of the first element of the stack;C. The top points to NULL;D. The top contains the data of the last element of the stack,A,5
Q074,TrueFalse,INTERMEDIATE,Stacks,In C++ the pop operation removes the top element from the stack and returns it.,,TRUE,10
Q075,MCQ,EASY,Stacks,Which data structure is typically used to implement a stack in C++?,A. Linked list;B. Array;C. Queue;D. Tree,B,5
Q076,FillinTheBlank,HARD,Stacks,In C++ to pop an element from a stack named 's' we use the syntax ______ = s.top(); s.pop();,,temp,15
Q077,MultipleCorrect,INTERMEDIATE,Stacks,Which are disadvantages of using stacks in C++?,A. Stacks have a limited capacity;B. Stacks do not support random access of elements;C. Stacks cannot be implemented using arrays;D. Stacks can lead to stack overflow errors,A;B,10
Q078,MCQ,EASY,Queues,Which statement is true about queues?,A. Queues follow the LIFO (Last In First Out) principle;B. Queues support random access of elements;C. Queues allow insertion and deletion from both ends;D. Queues follow the FIFO (First In First Out) principle,D,5
Q079,FillinTheBlank,INTERMEDIATE,Queues,In C++ to declare a queue of characters named 'q' we use the syntax queue<char> ______;,,q,10
Q080,TrueFalse,INTERMEDIATE,Queues,In C++ a queue can be implemented using arrays or linked lists.,,TRUE,10
Q081,MCQ,EASY,Queues,Which operations can be performed efficiently on a queue?,A. Insertion at the middle;B. Deletion from the middle;C. Insertion at the rear;D. Deletion from the front,C,5
Q082,FillinTheBlank,HARD,Queues,In C++ to enqueue an element with value 25 onto a queue named 'q' we use the syntax q.______(25);,,push,15
Q083,MultipleCorrect,INTERMEDIATE,Queues,Which are common applications of queues?,A. Process scheduling;B. Breadth-first search;C. Expression evaluation;D. Depth-first search,A;B,10
Q084,MCQ,EASY,Queues,Which data structure is typically used to implement a queue in C++?,A. Linked list;B. Array;C. Stack;D. Tree,A,5
Q085,FillinTheBlank,HARD,Queues,In C++ to dequeue an element from a queue named 'q' we use the syntax ______ = q.front(); q.pop();,,temp,15
Q086,TrueFalse,INTERMEDIATE,Queues,In C++ the dequeue operation removes the rear element from the queue.,,FALSE,10
Q087,MCQ,EASY,Search Algorithms,Which is not a search algorithm?,A. Linear search;B. Binary search;C. Bubble sort;D. Depth-first search,C,5
Q088,FillinTheBlank,INTERMEDIATE,Search Algorithms,In C++ to implement binary search recursively we use the syntax int binarySearch(int arr[] int low int high int key) { if (low <= high) { int mid = (low + high) / 2; if (arr[mid] == key) return ______; else if (arr[mid] > key) return binarySearch(arr low mid - 1 key); else return binarySearch(arr mid + 1 high key); } return -1; },,mid,10
Q089,TrueFalse,INTERMEDIATE,Search Algorithms,In C++ binary search can only be applied to sorted arrays.,,TRUE,10
Q090,MCQ,EASY,Search Algorithms,Which statement is true about linear search?,A. Linear search requires the array to be sorted;B. Linear search has a time complexity of O(log n);C. Linear search is also known as binary search;D. Linear search has a time complexity of O(n),D,5
Q091,FillinTheBlank,HARD,Search Algorithms,In C++ to implement linear search iteratively we use the syntax int linearSearch(int arr[] int n int key) { for (int i = 0; i < n; ++i) { if (arr[i] == key) return ______; } return -1; },,i,15
Q092,MultipleCorrect,INTERMEDIATE,Search Algorithms,Which are advantages of binary search over linear search?,A. Binary search has a time complexity of O(log n);B. Binary search requires the array to be sorted;C. Binary search is faster for small arrays;D. Binary search is faster for large arrays,A;B,10
Q093,MCQ,EASY,Search Algorithms,Which statement is true about binary search?,A. Binary search has a time complexity of O(n);B. Binary search requires the array to be sorted;C. Binary search is always faster than linear search;D. Binary search is also known as sequential search,B,5
Q094,FillinTheBlank,HARD,Search Algorithms,In C++ to implement binary search iteratively we use the syntax int binarySearch(int arr[] int n int key) { int left = 0 right = n - 1; while (left <= right) { int mid = (left + right) / 2; if (arr[mid] == key) return ______; else if (arr[mid] < key) left = mid + 1; else right = mid - 1; } return -1; },,mid,15
Q095,TrueFalse,INTERMEDIATE,Search Algorithms,In C++ binary search can be applied to both sorted and unsorted arrays.,,FALSE,10
Q096,MCQ,EASY,Sorting Algorithms,Which is a comparison-based sorting algorithm?,A. Radix sort;B. Counting sort;C. Bucket sort;D. Quick sort,D,5
Q097,FillinTheBlank,INTERMEDIATE,Sorting Algorithms,In C++ to implement bubble sort we use the syntax void bubbleSort(int arr[] int n) { for (int i = 0; i < n-1; ++i) { for (int j = 0; j < n-i-1; ++j) { if (arr[j] > arr[j+1]) { ______; } } } },,swap(arr[j] arr[j+1]),10
Q098,TrueFalse,INTERMEDIATE,Sorting Algorithms,In C++ bubble sort is an example of a divide and conquer algorithm.,,FALSE,10
Q099,MCQ,EASY,Sorting Algorithms,Which sorting algorithm has the best average-case time complexity?,A. Bubble sort;B. Insertion sort;C. Quick sort;D. Selection sort,C,5
Q100,FillinTheBlank,HARD,Sorting Algorithms,In C++ to implement insertion sort we use the syntax void insertionSort(int arr[] int n) { for (int i = 1; i < n; ++i) { int key = arr[i]; int j = i - 1; while (j >= 0 && arr[j] > key) { arr[j + 1] = arr[j]; j--; } arr[j + 1] = ______; } },,key,15
Q101,MultipleCorrect,INTERMEDIATE,Sorting Algorithms,Which characteristics are true for quick sort?,A. Quick sort is a stable sorting algorithm;B. Quick sort has a worst-case time complexity of O(n^2);C. Quick sort uses divide and conquer strategy;D. Quick sort requires additional memory for sorting,A;C,10
Q102,MCQ,EASY,Sorting Algorithms,What is true about selection sort?,A. Selection sort has a time complexity of O(n^2);B. Selection sort is a stable sorting algorithm;C. Selection sort is an in-place sorting algorithm;D. Selection sort has a time complexity of O(n log n),A,5
Q103,TrueFalse,INTERMEDIATE,Sorting Algorithms,In C++ merge sort is an example of an in-place sorting algorithm.,,FALSE,10
Q104,MCQ,EASY,Sorting Algorithms,What is true about merge sort?,A. Merge sort has a time complexity of O(n^2);B. Merge sort is an in-place sorting algorithm;C. Merge sort is not a stable sorting algorithm;D. Merge sort uses divide and conquer strategy,D,5
Q105,FillinTheBlank,HARD,Sorting Algorithms,In C++ to implement merge sort we use the syntax void mergeSort(int arr[] int l int r) { if (l < r) { int m = (l + r) / 2; mergeSort(arr l m); mergeSort(arr m + 1 r); merge(arr l m r); } },,merge,15
Q106,MultipleCorrect,INTERMEDIATE,Sorting Algorithms,Which characteristics are true for insertion sort?,A. Insertion sort has a worst-case time complexity of O(n^2);B. Insertion sort is an adaptive sorting algorithm;C. Insertion sort is a stable sorting algorithm;D. Insertion sort is suitable for sorting small arrays,A;B;C,10
Q107,MCQ,EASY,Sorting Algorithms,What is true about radix sort?,A. Radix sort is a comparison-based sorting algorithm;B. Radix sort is not suitable for sorting integers;C. Radix sort uses the concept of buckets;D. Radix sort has a time complexity of O(n log n),C,5
Q108,FillinTheBlank,INTERMEDIATE,Sorting Algorithms,In C++ to implement quick sort we use the syntax void quickSort(int arr[] int low int high) { if (low < high) { int pi = partition(arr low high); quickSort(arr low pi - 1); quickSort(arr pi + 1 high); } },,pi,10
Q109,TrueFalse,INTERMEDIATE,Sorting Algorithms,In C++ heap sort is an example of a comparison-based sorting algorithm.,,TRUE,10
Q110,MCQ,EASY,Sorting Algorithms,Which statement is true about heap sort?,A. Heap sort is an adaptive sorting algorithm;B. Heap sort is not an in-place sorting algorithm;C. Heap sort has a worst-case time complexity of O(n^2);D. Heap sort requires additional memory for sorting,B,5
Q111,FillinTheBlank,HARD,Sorting Algorithms,In C++ to implement heap sort we use the syntax void heapSort(int arr[] int n) { buildMaxHeap(arr n); for (int i = n - 1; i > 0; --i) { ______; } },,swap(arr[0] arr[i]); swap(arr[0] arr[i]);,15
Q112,MultipleCorrect,INTERMEDIATE,Sorting Algorithms,Which characteristics are true for heap sort?,A. Heap sort has a worst-case time complexity of O(n log n);B. Heap sort is an in-place sorting algorithm;C. Heap sort is not a stable sorting algorithm;D. Heap sort uses the concept of binary heaps,A;B;C,10
Q113,MCQ,EASY,Recursion,What is recursion in C++?,A. A programming technique to optimize code;B. A function calling itself directly or indirectly;C. A way to declare variables inside functions;D. A method to avoid using loops,B,5
Q114,FillinTheBlank,INTERMEDIATE,Recursion,In C++ to implement factorial using recursion we use the syntax int factorial(int n) { if (n == 0 || n == 1) return ______; else return n * factorial(n - 1); },,1,10
Q115,TrueFalse,INTERMEDIATE,Recursion,In C++ every recursive function must have a base case to terminate the recursion.,,TRUE,10
Q116,MCQ,EASY,Recursion,What is the purpose of a base case in a recursive function?,A. To define the initial state of the function;B. To define the termination condition of the recursion;C. To optimize the performance of the function;D. To skip certain recursive calls,B,5
Q117,FillinTheBlank,HARD,Recursion,In C++ to implement Fibonacci series using recursion we use the syntax int fibonacci(int n) { if (n <= 1) return n; else return fibonacci(n - 1) + ______; },,fibonacci(n - 2),15
Q118,MultipleCorrect,INTERMEDIATE,Recursion,Which are advantages of using recursion in C++?,A. Simplifies code implementation;B. Reduces memory usage;C. Enhances code readability;D. Solves complex problems efficiently,A;C,10
Q119,MCQ,EASY,Recursion,In C++ what happens if the base case is not defined properly in a recursive function?,A. The program crashes;B. The function enters an infinite loop;C. The function returns an incorrect result;D. The function returns NULL,C,5
Q120,FillinTheBlank,INTERMEDIATE,Pointers,______ allows us to indirectly access and manipulate data by referring to its memory location.,,Pointers,10
Q121,TrueFalse,INTERMEDIATE,Recursion,In C++ recursive functions are always more memory-efficient than their iterative counterparts.,,FALSE,10
Q122,MCQ,EASY,Recursion,In C++ what is the maximum number of recursive calls that can be made before reaching the recursion limit?,A. 100;B. 1000;C. It depends on the compiler and system settings;D. There is no maximum limit,C,5
Q123,FillinTheBlank,HARD,Recursion,In C++ to calculate the power of a number using recursion we use the syntax int power(int base int exponent) { if (exponent == 0) return ______; else return base * power(base exponent - 1); },,1,15
Q124,MultipleCorrect,INTERMEDIATE,Recursion,Which are examples of problems that can be solved efficiently using recursion?,A. Tree traversal;B. Factorial calculation;C. Sorting arrays;D. Pathfinding in a maze,A;B;D,10
Q125,MCQ,EASY,Dynamic Programming,What is dynamic programming in C++?,A. A programming technique to optimize code;B. A way to allocate memory dynamically;C. A method to define classes with dynamic properties;D. A method to avoid using loops,A,5
Q126,FillinTheBlank,INTERMEDIATE,Dynamic Programming,In C++ to implement the Fibonacci series using dynamic programming we use the syntax int fibonacci(int n) { int fib[n+1]; fib[0] = 0; fib[1] = 1; for (int i = 2; i <= n; ++i) { fib[i] = fib[i-1] + fib[i-2]; } return fib[______]; },,n,10
Q127,TrueFalse,INTERMEDIATE,Dynamic Programming,In C++ dynamic programming can only be applied to problems that exhibit optimal substructure and overlapping subproblems.,,FALSE,10
Q128,MCQ,EASY,Dynamic Programming,What is memoization in dynamic programming?,A. Storing the results of expensive function calls and returning the cached result when the same inputs occur again;B. Allocating memory dynamically for variables;C. Performing arithmetic operations in a recursive manner;D. Optimizing the use of loops in a program,A,5
Q129,FillinTheBlank,HARD,Dynamic Programming,In C++ to implement the 0-1 knapsack problem using dynamic programming we use the syntax int knapsack(int W int wt[] int val[] int n) { int K[n+1][W+1]; for (int i = 0; i <= n; ++i) { for (int w = 0; w <= W; ++w) { if (i == 0 || w == 0) K[i][w] = 0; else if (wt[i-1] <= w) K[i][w] = max(val[i-1] + K[i-1][w-wt[i-1]] K[i-1][w]); else K[i][w] = K[i-1][w]; } } return K[______][W]; },,n,15
Q130,MultipleCorrect,INTERMEDIATE,Dynamic Programming,Which characteristics are true for dynamic programming?,A. Dynamic programming breaks down a problem into smaller subproblems;B. Dynamic programming relies on the principle of optimal substructure;C. Dynamic programming solves each subproblem only once and saves its answer in a table;D. Dynamic programming is suitable for problems with a greedy approach,A;B;C,10
Q131,MCQ,EASY,Dynamic Programming,What is the time complexity of dynamic programming algorithms generally?,A. O(1);B. O(log n);C. O(n);D. O(n^2),D,5
Q132,FillinTheBlank,INTERMEDIATE,Dynamic Programming,In C++ to implement the coin change problem using dynamic programming we use the syntax int coinChange(int coins[] int n int amount) { int dp[______+1]; dp[0] = 0; for (int i = 1; i <= amount; ++i) { dp[i] = INT_MAX; for (int j = 0; j < n; ++j) { if (coins[j] <= i && dp[i-coins[j]] != INT_MAX) { dp[i] = min(dp[i] 1 + dp[i-coins[j]]); } } } return dp[amount] == INT_MAX ? -1 : dp[amount]; },,amount,10
Q133,TrueFalse,INTERMEDIATE,Dynamic Programming,In C++ dynamic programming can only be applied to problems with a recursive structure.,,FALSE,10
Q134,MCQ,EASY,Dynamic Programming,What is the purpose of using dynamic programming?,A. To minimize memory usage in programs;B. To optimize the time complexity of algorithms;C. To allocate memory dynamically;D. To avoid using recursion in programs,B,5
Q135,FillinTheBlank,HARD,Dynamic Programming,Dynamic programming often involves using memoization or tabulation to store _______ results.,,intermediate,15
Q136,MultipleCorrect,INTERMEDIATE,Dynamic Programming,Which techniques are common in dynamic programming?,A. Memoization;B. Backtracking;C. Tabulation;D. Divide and conquer,A;C,10
Q137,MCQ,EASY,Dynamic Programming,What is tabulation in dynamic programming?,A. Storing the results of expensive function calls and returning the cached result when the same inputs occur again;B. Allocating memory dynamically for variables;C. Performing arithmetic operations in a recursive manner;D. Storing the results of subproblems in a table to avoid recomputation,D,5
Q138,FillinTheBlank,HARD,Dynamic Programming,In C++ to implement the longest increasing subsequence problem using dynamic programming we use the syntax int longestIncreasingSubsequence(int arr[] int n) { int lis[n]; lis[0] = 1; for (int i = 1; i < n; ++i) { lis[i] = 1; for (int j = 0; j < i; ++j) { if (arr[i] > arr[j] && lis[i] < lis[j] + 1) lis[i] = lis[j] + 1; } } return *______(lis lis + n); },,max_element,15
Q139,TrueFalse,INTERMEDIATE,Dynamic Programming,In C++ dynamic programming can only be applied to problems with a recursive solution.,,FALSE,10
Q140,MCQ,EASY,File Handling,Which statement is true about file handling in C++?,A. File handling is done using the <file> header file;B. File handling in C++ requires the use of third-party libraries;C. File handling is done using the <fstream> header file;D. File handling is not supported in C++,C,5
Q141,FillinTheBlank,INTERMEDIATE,File Handling,"In C++ to open a file named 'example.txt' in write mode we use the syntax ofstream outfile(""______"");",,example.txt,10
Q142,TrueFalse,INTERMEDIATE,File Handling,In C++ when opening a file in write mode if the file does not exist it will be created.,,TRUE,10
Q143,MCQ,EASY,File Handling,Which mode is used to open a file for reading and writing in C++?,A. ios::in;B. ios::out;C. ios::binary;D. ios::in | ios::out,D,5
Q144,FillinTheBlank,HARD,File Handling,In C++ to read from a file stream named 'infile' into a string variable named 'data' we use the syntax infile >> ______;,,data,15
Q145,MultipleCorrect,INTERMEDIATE,File Handling,Which are common file operations in C++?,A. Opening a file;B. Writing data to a file;C. Appending data to a file;D. Creating directories,A;B;C,10
Q146,MCQ,EASY,File Handling,Which statement is true about file streams in C++?,A. File streams must be closed explicitly using the close() function;B. File streams are automatically closed when the program terminates;C. File streams cannot be opened in multiple modes simultaneously;D. File streams are only used for reading from files,B,5
Q147,TrueFalse,INTERMEDIATE,File Handling,In C++ file streams can only be opened in either text mode or binary mode not both simultaneously.,,FALSE,10
Q148,MCQ,EASY,File Handling,Which statement is true about text files in C++?,A. Text files store data in binary format;B. Text files are not human-readable;C. Text files contain data in the form of characters;D. Text files cannot be manipulated using C++ file streams,C,5
Q149,FillinTheBlank,HARD,File Handling,In C++ to write a string variable named 'text' to a file stream named 'outfile' we use the syntax outfile << ______;,,text,15
Q150,MultipleCorrect,INTERMEDIATE,File Handling,Which are advantages of using file streams in C++ for file handling?,A. Platform independence;B. Simplified syntax;C. Low-level control over file operations;D. Automatic memory management,A;B,10
Q151,MCQ,EASY,Exception Handling,What is exception handling in C++?,A. A mechanism to handle runtime errors in programs;B. A way to handle compile-time errors in programs;C. A technique to optimize code execution;D. A method to avoid using loops in programs,A,5
Q152,FillinTheBlank,INTERMEDIATE,Exception Handling,_______ exceptions create errors that are not controllable by the program,,Asynchronous,10
Q153,TrueFalse,INTERMEDIATE,Exception Handling,In C++ a try block must be followed by at least one catch block.,,TRUE,10
Q154,MCQ,EASY,Exception Handling,Which statement is true about exceptions in C++?,A. Exceptions can only be thrown by the standard library functions;B. Exceptions must always be caught immediately where they are thrown;C. Exceptions cannot be rethrown in C++;D. Exceptions can be of any data type,A,5
Q155,FillinTheBlank,HARD,Exception Handling,"In C++ to throw an exception of type 'std::invalid_argument' with a message ""Invalid input"" we use the syntax throw ______(""Invalid input"");",,std::invalid_argument,15
